product_id,nom_produit,prix_unitaire,quantite_vendue,chiffre_affaires,z_score
5722,Domaine de l'Hortus Pays de l'Hérault Le Loup Dans La Bergerie 2018,7.1,19.0,134.9,-0.9115059458486984
4103,Emile Boeckel Riesling Grand Cru Wiebelsberg 2016,16.3,12.0,195.6,-0.5809941552863813
4980,Château La Tour l'Aspic Pauillac 2014,26.5,0.0,0.0,-0.2145571700977256
4107,Emile Boeckel Pinot Noir Terres Rouges 2016,35.0,0.0,0.0,0.0908069842261542
4720,Domaine Schoenheitz Riesling Herrenreben 2018,15.9,15.0,238.5,-0.595364233136917
4977,Château Lafont Menaut Pessac-Leognan Blanc 2017,16.3,3.0,48.9,-0.5809941552863813
6628,Weingut Besson-Strasser Zürich Blauer Zweigelt 2016,32.2,0.0,0.0,-0.0097835607275943
4263,Chermette Domaine du Vissoux Fleurie Poncié 2018,15.8,0.0,0.0,-0.5989567525995507
5818,Maison Trimbach Riesling Grand Cru Schlossberg 2015,63.5,0.0,0.0,1.11467503107681
5820,Maison Trimbach Riesling Cuvée Frédéric Emile 2012,63.5,0.0,0.0,1.11467503107681
4919,Alain Graillot Crozes-Hermitage Rouge 2017,24.4,6.0,146.4,-0.2900000788130371
5618,"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018",71.3,0.0,0.0,1.3948915491622529
5703,Domaine de l'Ecu Muscadet Taurus 2012,29.4,0.0,0.0,-0.1103741056813431
4976,Château Lafont Menaut Pessac-Leognan Rouge 2017,16.45,4.0,65.8,-0.5756053760924306
4395,Wemyss Malts Blended Scotch Whisky Lord Elcho,27.5,0.0,0.0,-0.1786319754713868
4674,Domaine Pellé Sancerre Blanc La Croix Au Garde 2018,19.0,7.0,133.0,-0.4839961297952666
5743,Domaine Clerget Vosne-Romanée Les Violettes 2015,57.0,0.0,0.0,0.8811612660056078
4646,Bernard Baudry Chinon Rouge Le Clos Guillot 2017,21.5,1.0,21.5,-0.3941831432294196
5613,Albert Boxler Chasselas 2016,19.2,6.0,115.2,-0.4768110908699989
4749,Domaine de Montgilet Anjou Blanc 2016,11.9,0.0,0.0,-0.7390650116422721
6575,Marc Colin Et Fils Saint-Aubin 1er Cru La Chatenière 2017,41.8,0.0,0.0,0.335098307685258
4198,Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019,5.8,0.0,0.0,-0.9582086988629388
5609,Domaine Weinbach Riesling Cuvée Colette 2018,38.6,2.0,77.2,0.2201376848809739
4142,Champagne Gosset Grand Millésime 2006,53.0,30.0,1590.0,0.7374604875002527
4677,Domaine Rotier Gaillac Rouge Les Gravels 2016,9.5,1.0,9.5,-0.8252854787454852
6621,Thierry Germain Saumur-Champigny La Marginale 2018,35.2,3.0,105.6,0.0979920231514221
4285,Château de Cazeneuve Pic Saint-Loup Le Sang Du Calvaire 2017,41.0,8.0,328.0,0.306358151984187
4668,Xavier Frissant Touraine Amboise L'Orée des Frênes 2015,12.3,3.0,36.9,-0.7246949337917366
5056,Domaine de Montgilet Anjou Rouge 2016,7.5,1.0,7.5,-0.8971358679981628
5479,Domaine Bulliat Beaujolais Blanc 2019,10.2,3.0,30.6,-0.8001378425070481
6567,"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014",28.4,0.0,0.0,-0.1462993003076819
4219,Domaine de l'Ecu Muscadet Orthogneiss 2014,16.7,1.0,16.7,-0.5666240774358459
4597,Marc Colin Et Fils Chassagne-Montrachet Blanc Les Vide-Bourses 1er Cru 2016,61.6,2.0,123.2,1.0464171612867663
